0100000048	ମୋଶାଙ୍କ ଲିଖିତ ପ୍ରଥମ ପୁସ୍ତକ
0405040162	ତହିଁରେ ଇସ୍ରାଏଲ-ସନ୍ତାନଗଣ ସେହିରୂପ କଲେ, ପୁଣି, ଛାଉଣିର ବାହାରେ ସେମାନଙ୍କୁ ରଖିଲେ; ସଦାପ୍ରଭୁ ମୋଶାଙ୍କୁ ଯେପରି କହିଲେ, ଇସ୍ରାଏଲ-ସନ୍ତାନଗଣ ସେପରି କଲେ।
040505005b	ଏଉତ୍ତାରେ ସଦାପ୍ରଭୁ ମୋଶାଙ୍କୁ କହିଲେ,
04050601c1	“ତୁମ୍ଭେ ଇସ୍ରାଏଲ-ସନ୍ତାନଗଣକୁ କୁହ, କୌଣସି ପୁରୁଷ କିମ୍ବା ସ୍ତ୍ରୀ ଯଦି ସଦାପ୍ରଭୁଙ୍କ ବିରୁଦ୍ଧରେ ସତ୍ୟ-ଲଙ୍ଘନ କରି ମନୁଷ୍ୟମାନଙ୍କ ମଧ୍ୟରେ ପ୍ରଚଳିତ କୌଣସି ପାପ କରେ ଓ ସେହି ପ୍ରାଣୀ ଦଣ୍ଡନୀୟ ହୁଏ,
0405070185	ତେବେ ସେ ଆପଣା କୃତ ପାପ ସ୍ୱୀକାର କରିବ ଓ ସମ୍ପୂର୍ଣ୍ଣ ରୂପେ ଆପଣା ଦୋଷ ସକାଶୁ କ୍ଷତିପୂରଣ ଦେବ ଓ ତହିଁର ପଞ୍ଚମାଂଶ ଅଧିକ ମିଶାଇ ଯାହା ବିରୁଦ୍ଧରେ ଦୋଷ କରିଅଛି, ତାହାକୁ ଦେବ।
04050802d3	ମାତ୍ର ଯାହାକୁ ଦୋଷ ନିମନ୍ତେ କ୍ଷତିପୂରଣ ଦିଆଯାଇ ପାରେ, ଏପରି ମୁକ୍ତିକର୍ତ୍ତା ଜ୍ଞାତି ଯଦି ସେହି ଲୋକର ନ ଥାଏ, ତେବେ ସଦାପ୍ରଭୁଙ୍କ ଉଦ୍ଦେଶ୍ୟରେ ଯେଉଁ ଦୋଷାର୍ଥକ କ୍ଷତିପୂରଣ ଦିଆଯାଏ, ତାହା ଯାଜକର ହେବ; ତାହା ବ୍ୟତୀତ ଯଦ୍ଦ୍ୱାରା ତାହା ପାଇଁ ପ୍ରାୟଶ୍ଚିତ୍ତ କରାଯିବ, ସେହି ପ୍ରାୟଶ୍ଚିତ୍ତାର୍ଥକ ମେଷବଳି ହିଁ ଦେବାକୁ ହେବ।
0405090131	ପୁଣି, ଇସ୍ରାଏଲ-ସନ୍ତାନଗଣ ଆପଣାମାନଙ୍କ ପବିତ୍ର ବସ୍ତୁ ମଧ୍ୟରୁ ଯେତେ ଉତ୍ତୋଳନୀୟ ଉପହାର ଯାଜକ ନିକଟକୁ ଆଣନ୍ତି, ତାହାସବୁ ତାହାର ହେବ।
04050a010c	ପ୍ରତ୍ୟେକ ମନୁଷ୍ୟର ଉତ୍ସର୍ଗିତ ପବିତ୍ର ବସ୍ତୁ ତାହାର ହେବ; ମନୁଷ୍ୟ ଯେକୌଣସି ବସ୍ତୁ ଯାଜକକୁ ଦିଏ, ତାହା ତାହାର ହେବ।”
04050b0061	ଏଥିଉତ୍ତାରେ ସଦାପ୍ରଭୁ ମୋଶାଙ୍କୁ କହିଲେ,
04050c0118	“ତୁମ୍ଭେ ଇସ୍ରାଏଲ-ସନ୍ତାନଗଣକୁ କୁହ, କୌଣସି ମନୁଷ୍ୟର ଭାର୍ଯ୍ୟା ଯଦି ବିପଥଗାମିନୀ ହୋଇ ତାହା ବିରୁଦ୍ଧରେ ସତ୍ୟ-ଲଙ୍ଘନ କରେ,
04050d01e1	ଅର୍ଥାତ୍‍, ଯଦି କୌଣସି ପୁରୁଷ ତାହା ସହିତ ସହବାସ କରେ ଓ ତାହା ତାହାର ସ୍ୱାମୀର ଦୃଷ୍ଟିରୁ ଅଗୋଚର ହୋଇ ଗୁପ୍ତ ହୁଏ ଓ ସେ ଅଶୁଚି ହୁଏ, ପୁଣି, ତାହା ବିରୁଦ୍ଧରେ କେହି ସାକ୍ଷୀ ନ ଥାଏ, କିଅବା ସେ କର୍ମ ସମୟରେ ଧରା ପଡ଼ି ନ ଥାଏ;
04050e01f0	ଆଉ ଯଦି ସ୍ୱାମୀ ଈର୍ଷାଜନକ ଆତ୍ମାରେ ଆବିଷ୍ଟ ହୁଏ ଓ ଭାର୍ଯ୍ୟା ଅଶୁଚି ହେବାରୁ ତାହା ପ୍ରତି ଈର୍ଷାରେ ଜ୍ୱଳେ; ଅବା ଭାର୍ଯ୍ୟା ଅଶୁଚି ନୋହିଲେ ହେଁ ଯଦି ସ୍ୱାମୀ ଈର୍ଷାଜନକ ଆତ୍ମାରେ ଆବିଷ୍ଟ ହୋଇ ତାହା ପ୍ରତି ଈର୍ଷାରେ ଜ୍ୱଳେ;
04050f026b	ତେବେ ସେହି ପୁରୁଷ ଆପଣା ଭାର୍ଯ୍ୟାକୁ ଯାଜକ ନିକଟକୁ ଆଣିବ ଓ ତାହା ନିମନ୍ତେ ଐଫାର ଦଶମାଂଶ ଯବ ମଇଦା ଉପହାର ଆଣିବ; ସେ ତହିଁ ଉପରେ ତୈଳ ଢାଳିବ ନାହିଁ ଅବା କୁନ୍ଦୁରୁ ଦେବ ନାହିଁ, କାରଣ ତାହା ଈର୍ଷାର ଭକ୍ଷ୍ୟ ନୈବେଦ୍ୟ, ଅର୍ଥାତ୍‍ ଅପରାଧ-ସ୍ମରଣକାରୀ ସ୍ମରଣାର୍ଥକ ଭକ୍ଷ୍ୟ ନୈବେଦ୍ୟ।
04051000c9	ଏଉତ୍ତାରେ ଯାଜକ ସେହି ସ୍ତ୍ରୀକୁ ନିକଟକୁ ଆଣି ସଦାପ୍ରଭୁଙ୍କ ସମ୍ମୁଖରେ ଉପସ୍ଥିତ କରିବ।
04051100e5	ପୁଣି, ଯାଜକ ମୃତ୍ତିକା ପାତ୍ରରେ ପବିତ୍ର ଜଳ ନେବ ଓ ଯାଜକ ଆବାସର ଚଟାଣରୁ ଧୂଳି ନେଇ ସେହି ଜଳରେ ପକାଇବ।
0405120255	ତହୁଁ ଯାଜକ ସେହି ସ୍ତ୍ରୀକୁ ସଦାପ୍ରଭୁଙ୍କ ସମ୍ମୁଖରେ ଉପସ୍ଥିତ କରିବ ଓ ସେହି ସ୍ତ୍ରୀର ମସ୍ତକର କେଶ ମୁକୁଳା କରି ସେହି ସ୍ମରଣାର୍ଥକ ଭକ୍ଷ୍ୟ ନୈବେଦ୍ୟ, ଅର୍ଥାତ୍‍ ଈର୍ଷାର ଭକ୍ଷ୍ୟ ନୈବେଦ୍ୟ ତାହାର ହସ୍ତରେ ଦେବ; ପୁଣି, ଯାଜକ ଆପଣା ହସ୍ତରେ ଅଭିଶାପଜନକ ତିକ୍ତ ଜଳ ରଖିବ।
040513020d	ଆଉ ଯାଜକ ସେହି ସ୍ତ୍ରୀକୁ ଶପଥ କରାଇ କହିବ, ଯଦି କୌଣସି ପୁରୁଷ ତୁମ୍ଭ ସହିତ ଶୟନ କରି ନ ଥାଏ ଓ ତୁମ୍ଭେ ଆପଣା ସ୍ୱାମୀର ଅଧୀନରେ ଥାଉ ଥାଉ ବିପଥଗାମିନୀ ହୋଇ ଅଶୁଚି କ୍ରିୟା କରି ନ ଥାଅ, ତେବେ ତୁମ୍ଭେ ଏହି ଅଭିଶାପଜନକ ତିକ୍ତ ଜଳରୁ ମୁକ୍ତ ହୁଅ।
040514018f	ମାତ୍ର ଯଦି ତୁମ୍ଭେ ଆପଣା ସ୍ୱାମୀର ଅଧୀନରେ ଥାଉ ଥାଉ ବିପଥଗାମିନୀ ହୋଇଥାଅ ଓ ତୁମ୍ଭେ ଅଶୁଚି ହୋଇଥାଅ, ପୁଣି, ତୁମ୍ଭ ସ୍ୱାମୀ ବ୍ୟତୀତ ଅନ୍ୟ କୌଣସି ପୁରୁଷ ତୁମ୍ଭ ସହିତ ଶୟନ କରିଥାଏ;
040515012b	ତେବେ ସଦାପ୍ରଭୁ ତୁମ୍ଭର ଊରୁ ଅବଶ କରାଇ ଓ ତୁମ୍ଭର ଉଦର ଫୁଲାଇ ତୁମ୍ଭ ଲୋକମାନଙ୍କ ମଧ୍ୟରେ ତୁମ୍ଭଙ୍କୁ ଶପଥ ଓ ରାଣର ଫଳ ଭୋଗ କରାଉନ୍ତୁ;
04051601e6	ତହିଁରେ ଏହି ଅଭିଶାପଜନକ ଜଳ ତୁମ୍ଭ ଉଦର ଫୁଲାଇବାକୁ ଓ ଊରୁ ଅବଶ କରାଇବାକୁ ତୁମ୍ଭ ଉଦରରେ ପ୍ରବେଶ କରୁ; ଏହି ସକଳ କଥା କହି ଯାଜକ ରାଣଯୁକ୍ତ ଶପଥ ଦ୍ୱାରା ସେହି ସ୍ତ୍ରୀକୁ ଶପଥ କରାଇବ; ତହିଁରେ ସେହି ସ୍ତ୍ରୀ ଆମେନ୍‍ କହିବ।
04051700d1	ପୁଣି, ଯାଜକ ସେହି ଅଭିଶାପର କଥା ନଳାକାର ପୁସ୍ତକରେ ଲେଖିବ ଓ ତାହା ପୋଛି ତିକ୍ତ ଜଳରେ ପକାଇବ।
0405180117	ତହୁଁ ସେ ସେହି ସ୍ତ୍ରୀକୁ ଅଭିଶାପଜନକ ତିକ୍ତ ଜଳ ପିଆଇବ; ତହିଁରେ ସେହି ଅଭିଶାପଜନକ ଜଳ ତାହା ଉଦରରେ ପ୍ରବେଶ କରି ତିକ୍ତ ହେବ।
0405190124	ଆଉ ଯାଜକ ସେହି ସ୍ତ୍ରୀର ହସ୍ତରୁ ସେହି ଈର୍ଷାର ଭକ୍ଷ୍ୟ ନୈବେଦ୍ୟ ନେଇ ସଦାପ୍ରଭୁଙ୍କ ସମ୍ମୁଖରେ ଦୋଳାଇବ, ପୁଣି, ବେଦି ଉପରକୁ ଆଣିବ;
04051a0167	ତହୁଁ ଯାଜକ ସେହି ଭକ୍ଷ୍ୟ ନୈବେଦ୍ୟରୁ ମୁଠିଏ ତହିଁର ସ୍ମରଣାର୍ଥକ ଅଂଶ ରୂପେ ନେଇ ବେଦି ଉପରେ ଦଗ୍ଧ କରିବ ଓ ତହିଁ ଉତ୍ତାରେ ସେହି ସ୍ତ୍ରୀକୁ ସେହି ଜଳ ପାନ କରାଇବ।
04051b02a9	ପୁଣି, ସେ ସେହି ସ୍ତ୍ରୀକୁ ଜଳ ପାନ କରାଇଲେ ଏପରି ହେବ, ଯଦି ସେହି ସ୍ତ୍ରୀ ଆପଣା ସ୍ୱାମୀ ବିରୁଦ୍ଧରେ ସତ୍ୟ-ଲଙ୍ଘନ କରି ଅଶୁଚି ହୋଇଥାଏ, ତେବେ ସେହି ଅଭିଶାପଜନକ ଜଳ ତାହା ମଧ୍ୟରେ ପ୍ରବେଶ କରି ତିକ୍ତ ହେବ ଓ ତାହାର ଉଦର ଫୁଲିବ ଓ ତାହାର ଊରୁ ଅବଶ ହେବ; ଆଉ ସେହି ସ୍ତ୍ରୀ ଆପଣା ଲୋକଙ୍କ ମଧ୍ୟରେ ଅଭିଶାପ ସ୍ୱରୂପ ହେବ।
04051c00c1	ଆଉ ଯଦି ସେହି ସ୍ତ୍ରୀ ଅଶୁଚି ନ ହୋଇ ଶୁଚି ଥାଏ, ତେବେ ସେ ମୁକ୍ତ ହେବ ଓ ଗର୍ଭଧାରଣ କରିବ।
04051d00eb	ଏହା ଈର୍ଷା ବିଷୟକ ବ୍ୟବସ୍ଥା, ଯଥା, ଭାର୍ଯ୍ୟା ସ୍ୱାମୀର ଅଧୀନରେ ଥାଉ ଥାଉ ବିପଥଗାମିନୀ ହୋଇ ଅଶୁଚି ହେଲେ,
04051e0202	ଅବା କୌଣସି ପୁରୁଷ ଈର୍ଷାଜନକ ଆତ୍ମାରେ ଆବିଷ୍ଟ ହୋଇ ଆପଣା ଭାର୍ଯ୍ୟା ପ୍ରତି ଈର୍ଷାରେ ଜ୍ୱଳିଲେ, ସେ ସେହି ସ୍ତ୍ରୀକୁ ସଦାପ୍ରଭୁଙ୍କ ସମ୍ମୁଖରେ ଉପସ୍ଥିତ କରାଇବ, ପୁଣି, ଯାଜକ ସେହି ସ୍ତ୍ରୀ ପ୍ରତି ଏହି ସମସ୍ତ ବ୍ୟବସ୍ଥା ପାଳନ କରିବ।
04051f00c3	ତହିଁରେ ସେହି ପୁରୁଷ ଅପରାଧରୁ ମୁକ୍ତ ହେବ ଓ ସେହି ସ୍ତ୍ରୀ ଆପଣା ଆପଣା ଅପରାଧ ବୋହିବ।”
0406010061	ଏଥିଉତ୍ତାରେ ସଦାପ୍ରଭୁ ମୋଶାଙ୍କୁ କହିଲେ,
0406020161	“ତୁମ୍ଭେ ଇସ୍ରାଏଲ-ସନ୍ତାନଗଣକୁ କୁହ, କୌଣସି ପୁରୁଷ କିମ୍ବା ସ୍ତ୍ରୀ ସଦାପ୍ରଭୁଙ୍କ ଉଦ୍ଦେଶ୍ୟରେ ପୃଥକ ହେବା ନିମନ୍ତେ ଯଦି ନାସରୀୟ କୌଣସି ବିଶେଷ ବ୍ରତ କରେ,
04060301fc	ତେବେ ସେ ଦ୍ରାକ୍ଷାରସ ଓ ସୁରାରୁ ଆପଣାକୁ ପୃଥକ କରିବ; ସେ ଦ୍ରାକ୍ଷାରସର ସିର୍କା ଓ ସୁରାର ସିର୍କା ପାନ କରିବ ନାହିଁ, କିଅବା ସେ ଦ୍ରାକ୍ଷାଫଳ ଜାତ କୌଣସି ପେୟ ପାନ କରିବ ନାହିଁ ଓ କଞ୍ଚା କିମ୍ବା ଶୁଖିଲା ଦ୍ରାକ୍ଷାଫଳ ଖାଇବ ନାହିଁ।
0406040140	ସେ ତାହାର ପୃଥକ ଥିବା ସମସ୍ତ ଦିନ ଦ୍ରାକ୍ଷାଫଳରେ ପ୍ରସ୍ତୁତ କୌଣସି ଦ୍ରବ୍ୟ କିମ୍ବା ତହିଁର ମଞ୍ଜିଠାରୁ ଚୋପା ପର୍ଯ୍ୟନ୍ତ କିଛି ଖାଇବ ନାହିଁ।
04060501e4	ତାହାର ବ୍ରତ ହେତୁ ପୃଥକ ଥିବା ସମସ୍ତ ଦିନ ତାହାର ମସ୍ତକରେ କ୍ଷୁର ଲାଗିବ ନାହିଁ; ସଦାପ୍ରଭୁଙ୍କ ଉଦ୍ଦେଶ୍ୟରେ ପୃଥକ ଥିବା ଦିନ ସମାପ୍ତ ହେବା ପର୍ଯ୍ୟନ୍ତ ସେ ପବିତ୍ର ରହିବ, ସେ ଆପଣା ମସ୍ତକର କେଶ ବୃଦ୍ଧି ପାଇବାକୁ ଦେବ।
04060600c2	ସେ ସଦାପ୍ରଭୁଙ୍କ ଉଦ୍ଦେଶ୍ୟରେ ପୃଥକ ଥିବା ସମସ୍ତ ଦିନ କୌଣସି ଶବ ନିକଟକୁ ଯିବ ନାହିଁ।
04060701ac	ଆପଣା ପିତା କିମ୍ବା ମାତା କିମ୍ବା ଭ୍ରାତା କିମ୍ବା ଭଗିନୀ ମଲେ, ସେ ସେମାନଙ୍କ ସକାଶୁ ଆପଣାକୁ ଅଶୁଚି କରିବ ନାହିଁ; କାରଣ ପରମେଶ୍ୱରଙ୍କ ଉଦ୍ଦେଶ୍ୟରେ ପୃଥକ ହେବାର ଚିହ୍ନ ତାହାର ମସ୍ତକରେ ଅଛି।
04060800a1	ତାହାର ପୃଥକ ଥିବା ସମସ୍ତ ଦିନ ସେ ସଦାପ୍ରଭୁଙ୍କ ଉଦ୍ଦେଶ୍ୟରେ ପବିତ୍ର।
04060901b7	ଆଉ ଯଦି କୌଣସି ମନୁଷ୍ୟ ହଠାତ୍‍ ତାହା ନିକଟରେ ମରିବାରୁ ସେ ଆପଣା ପ୍ରତିଷ୍ଠିତ ମସ୍ତକ ଅଶୁଚି କରେ, ତେବେ ସେ ଶୌଚ-ଦିନରେ ଆପଣା ମସ୍ତକ ମୁଣ୍ଡନ କରିବ, ଅର୍ଥାତ୍‍, ସେ ସପ୍ତମ ଦିନରେ ତାହା ମୁଣ୍ଡନ କରିବ।
04060a00dc	ପୁଣି, ଅଷ୍ଟମ ଦିନରେ ସେ ଦୁଇ ଘୁଘୁ ଅବା ଦୁଇ କପୋତ ଛୁଆ ସମାଗମ-ତମ୍ବୁ ଦ୍ୱାରରେ ଯାଜକ ନିକଟକୁ ଆଣିବ।
04060b019d	ଆଉ ଯାଜକ ତହିଁରୁ ଗୋଟିକୁ ପାପାର୍ଥେ ଓ ଅନ୍ୟଟିକୁ ହୋମାର୍ଥେ ଉତ୍ସର୍ଗ କରିବ ଓ ସେ ଶବ-ଘଟିତ ଯେଉଁ ପାପ କଲା, ତହିଁ ଲାଗି ପ୍ରାୟଶ୍ଚିତ୍ତ କରିବ ଓ ସେ ସେହି ଦିନ ତାହାର ମସ୍ତକ ପବିତ୍ର କରିବ।
04060c01df	ତହୁଁ ସେ ସଦାପ୍ରଭୁଙ୍କ ଉଦ୍ଦେଶ୍ୟରେ ପୃଥକ ହୋଇ ରହିବା ଦିନମାନ ପୃଥକ କରିବ, ପୁଣି, ଦୋଷାର୍ଥକ ବଳି ନିମନ୍ତେ ଏକ ବର୍ଷୀୟ ଗୋଟିଏ ମେଷବତ୍ସ ଆଣିବ; ମାତ୍ର ପୂର୍ବ ଦିନସବୁ ବୃଥା ହେବ, କାରଣ ତାହାର ପୃଥକ‍କରଣ ଅଶୁଚି ହେଲା।
04060d0112	ଆଉ ପୃଥକ ରହିବା ଦିନ ସମ୍ପୂର୍ଣ୍ଣ ହେଲେ, ନାସରୀୟ ବ୍ରତର ଏହି ବ୍ୟବସ୍ଥା ବ୍ରତକାରୀ ସମାଗମ-ତମ୍ବୁ ଦ୍ୱାର ନିକଟକୁ ଅଣାଯିବ।
04060e0131	ପୁଣି, ସେ ହୋମାର୍ଥେ ଏକ ବର୍ଷୀୟ ନିଖୁନ୍ତ ଏକ ମେଷବତ୍ସ ଓ ପାପାର୍ଥେ ଏକ ବର୍ଷୀୟ ନିଖୁନ୍ତ ଏକ ମେଷବତ୍ସା ଓ ମଙ୍ଗଳାର୍ଥେ ନିଖୁନ୍ତ ଏକ ମେଷ
04060f018b	ଓ ଏକ ଡାଲା ତାଡ଼ିଶୂନ୍ୟ ରୁଟି, ତୈଳ ମିଶ୍ରିତ ସରୁ ମଇଦାର ପିଠା, ତାଡ଼ିଶୂନ୍ୟ ତୈଳାକ୍ତ ସରୁ ଚକୁଳି, ତହିଁର ଭକ୍ଷ୍ୟ ଓ ପେୟ-ନୈବେଦ୍ୟ, ସଦାପ୍ରଭୁଙ୍କ ଉଦ୍ଦେଶ୍ୟରେ ଉତ୍ସର୍ଗ କରିବ।
04061000f1	ତହୁଁ ଯାଜକ ସଦାପ୍ରଭୁଙ୍କ ସମ୍ମୁଖରେ ଏହିସବୁ ଆଣି ତାହାର ପାପାର୍ଥକ ବଳି ଓ ହୋମାର୍ଥକ ବଳି ଉତ୍ସର୍ଗ କରିବ।
04061101a6	ତହିଁ ଉତ୍ତାରେ ସେ ତାଡ଼ିଶୂନ୍ୟ ରୁଟିର ଡାଲା ସହିତ ମଙ୍ଗଳାର୍ଥକ ମେଷବଳି ସଦାପ୍ରଭୁଙ୍କ ଉଦ୍ଦେଶ୍ୟରେ ଉତ୍ସର୍ଗ କରିବ; ମଧ୍ୟ ଯାଜକ ତହିଁର ଭକ୍ଷ୍ୟ ନୈବେଦ୍ୟ ଓ ପେୟ-ନୈବେଦ୍ୟ ଉତ୍ସର୍ଗ କରିବ।
0406120180	ତେବେ ନାସରୀୟ ଲୋକ ସମାଗମ-ତମ୍ବୁ ଦ୍ୱାରରେ ଆପଣା ପ୍ରତିଷ୍ଠିତ ମସ୍ତକ ମୁଣ୍ଡନ କରିବ ଓ ଆପଣା ପ୍ରତିଷ୍ଠିତ ମସ୍ତକର କେଶ ନେଇ ମଙ୍ଗଳାର୍ଥକ ବଳିର ଅଧଃସ୍ଥିତ ଅଗ୍ନିରେ ପକାଇବ।
04061301b1	ପୁଣି, ନାସରୀୟ ଲୋକ ଆପଣା ପ୍ରତିଷ୍ଠିତ ମସ୍ତକ ମୁଣ୍ଡନ କଲା ଉତ୍ତାରେ, ଯାଜକ ସେହି ମେଷର ଜଳସିଦ୍ଧ ସ୍କନ୍ଧ, ଡାଲାରୁ ଗୋଟିଏ ତାଡ଼ିଶୂନ୍ୟ ପିଠା ଓ ତାଡ଼ିଶୂନ୍ୟ ସରୁ ଚକୁଳି ନେଇ ତାହାର ହସ୍ତରେ ଦେବ।
040614020b	ଆଉ, ଯାଜକ ଦୋଳନୀୟ ନୈବେଦ୍ୟାର୍ଥେ ତାହାସବୁ ସଦାପ୍ରଭୁଙ୍କ ସମ୍ମୁଖରେ ଦୋଳାଇବ; ତହିଁରେ ଦୋଳନୀୟ ବକ୍ଷ ଓ ଉତ୍ତୋଳନୀୟ ଚଟୁଆ ସହିତ ତାହା ଯାଜକର ଉଦ୍ଦେଶ୍ୟରେ ପବିତ୍ର ହେବ; ତହିଁ ଉତ୍ତାରେ ସେହି ନାସରୀୟ ଲୋକ ଦ୍ରାକ୍ଷାରସ ପାନ କରି ପାରିବ।
040615020c	ନାସରୀୟ ବ୍ରତଧାରୀ ଲୋକ ଯାହା ଦେବାକୁ ସକ୍ଷମ, ତାହା ବ୍ୟତୀତ ଓ ତାହାର ପୃଥକ ରହିବା ସକାଶୁ ସଦାପ୍ରଭୁଙ୍କ ଉଦ୍ଦେଶ୍ୟରେ ନୈବେଦ୍ୟ-ଦାନର ବ୍ୟବସ୍ଥା ଏହି; ସେ ଯେରୂପ ବ୍ରତ କରେ, ପୃଥକ ରହିବା ବ୍ୟବସ୍ଥାନୁସାରେ ତାହା ତାହାକୁ କରିବାକୁ ହେବ।”
0406160061	ଏଥିଉତ୍ତାରେ ସଦାପ୍ରଭୁ ମୋଶାଙ୍କୁ କହିଲେ,
040617013d	“ତୁମ୍ଭେ ହାରୋଣ ଓ ତାହାର ପୁତ୍ରଗଣକୁ କୁହ, ‘ତୁମ୍ଭେମାନେ ଇସ୍ରାଏଲ-ସନ୍ତାନଗଣକୁ ଏହିରୂପେ ଆଶୀର୍ବାଦ କରିବ; ତୁମ୍ଭେମାନେ ସେମାନଙ୍କୁ କହିବ,
0406180098	ସଦାପ୍ରଭୁ ତୁମ୍ଭକୁ ଆଶୀର୍ବାଦ କରନ୍ତୁ ଓ ତୁମ୍ଭକୁ ରକ୍ଷା କରନ୍ତୁ;
04061900c3	ସଦାପ୍ରଭୁ ତୁମ୍ଭ ଉପରେ ଆପଣା ମୁଖର ତେଜ ପ୍ରକାଶ କରନ୍ତୁ ଓ ତୁମ୍ଭକୁ ଅନୁଗ୍ରହ କରନ୍ତୁ;
04061a00b1	ସଦାପ୍ରଭୁ ତୁମ୍ଭ ଉପରେ ଆପଣା ମୁଖ ଉଠାଉନ୍ତୁ ଓ ତୁମ୍ଭକୁ ଶାନ୍ତି ଦେଉନ୍ତୁ।’”
04061b00fa	ଏହିରୂପେ ସେମାନେ ଇସ୍ରାଏଲ-ସନ୍ତାନଗଣ ଉପରେ ଆମ୍ଭର ନାମ ରଖିବେ; ତହିଁରେ ଆମ୍ଭେ ସେମାନଙ୍କୁ ଆଶୀର୍ବାଦ କରିବା।
040701016b	ଏଥିଉତ୍ତାରେ ଯେଉଁ ଦିନ ମୋଶା ଆବାସ ସ୍ଥାପନ ସମାପ୍ତ କରି ତାହା ଅଭିଷେକ ଓ ପବିତ୍ର କଲେ ଓ ତହିଁର ସକଳ ଦ୍ରବ୍ୟ ଓ ବେଦି ଓ ତହିଁର ସକଳ ପାତ୍ର ଅଭିଷେକ କରି ପବିତ୍ର କଲେ;
0407020168	ସେହି ଦିନ ଇସ୍ରାଏଲର ଅଧିପତିଗଣ, ସେମାନଙ୍କ ପିତୃଗୃହର ପ୍ରଧାନଗଣ ନୈବେଦ୍ୟ ଦାନ କଲେ; ଏମାନେ ବଂଶସମୂହର ଅଧିପତି ଥିଲେ ଓ ଗଣିତ ଲୋକମାନଙ୍କ ଉପରେ ନିଯୁକ୍ତ ଥିଲେ।
04070301d4	ପୁଣି, ସେମାନେ ସଦାପ୍ରଭୁଙ୍କ ଉଦ୍ଦେଶ୍ୟରେ ନୈବେଦ୍ୟ ନିମନ୍ତେ ଛଅଗୋଟି ଆଚ୍ଛାଦିତ ଶଗଡ଼ ଓ ବାରଟି ଗୋରୁ, ଅର୍ଥାତ୍‍, ଦୁଇ ଦୁଇ ଅଧିପତି ଏକ ଏକ ଶଗଡ଼ ଓ ଏକ ଏକ ଜଣ ଏକ ଏକ ଗୋରୁ ଆଣି ଆବାସ ସମ୍ମୁଖରେ ଉପସ୍ଥିତ କରାଇଲେ।
040704004f	ତହୁଁ ସଦାପ୍ରଭୁ ମୋଶାଙ୍କୁ କହିଲେ,
0407050184	“ତୁମ୍ଭେ ସେମାନଙ୍କଠାରୁ ତାହା ଗ୍ରହଣ କର, ତାହାସବୁ ସମାଗମ-ତମ୍ବୁର ସେବା ନିମନ୍ତେ ହେବ; ଆଉ ତୁମ୍ଭେ ପ୍ରତ୍ୟେକ ଜଣ ଆପଣା ଆପଣା ସେବାନୁସାରେ ଲେବୀୟମାନଙ୍କୁ ତାହାସବୁ ଦେବ।”
0407060083	ତହୁଁ ମୋଶା ସେହି ଶଗଡ଼ ଓ ଗୋରୁ ନେଇ ଲେବୀୟମାନଙ୍କୁ ଦେଲେ।
04070700be	ଗେର୍ଶୋନୀୟ-ସନ୍ତାନଗଣକୁ ସେମାନଙ୍କ ସେବାନୁସାରେ ସେ ଦୁଇ ଶଗଡ଼ ଓ ଚାରି ଗୋରୁ ଦେଲେ।
040708011a	ହାରୋଣ ଯାଜକଙ୍କର ପୁତ୍ର ଈଥାମରର ହସ୍ତାଧୀନରେ ମରାରି-ସନ୍ତାନଗଣକୁ ସେମାନଙ୍କ ସେବାନୁସାରେ ସେ ଚାରି ଶଗଡ଼ ଓ ଆଠ ଗୋରୁ ଦେଲେ।
0407090132	ମାତ୍ର ସେ କହାତ-ସନ୍ତାନଗଣକୁ କିଛି ଦେଲେ ନାହିଁ, କାରଣ ପବିତ୍ର ସ୍ଥାନର ସେବାକର୍ମ ସେମାନଙ୍କର ଥିଲା; ସେମାନେ ସ୍କନ୍ଧରେ ତାହା ବୋହିଲେ।
04070a0156	ଆଉ ବେଦିର ଅଭିଷେକ ଦିନ ଅଧିପତିଗଣ ତହିଁର ପ୍ରତିଷ୍ଠା ନିମନ୍ତେ ଦାନ କଲେ, ଅର୍ଥାତ୍‍, ସେହି ଅଧିପତିଗଣ ବେଦି ସମ୍ମୁଖରେ ଆପଣା ଆପଣା ଉପହାର ଉତ୍ସର୍ଗ କଲେ।
04070b012c	ତହିଁରେ ସଦାପ୍ରଭୁ ମୋଶାଙ୍କୁ କହିଲେ, “ପ୍ରତ୍ୟେକ ଅଧିପତି ଆପଣା ଆପଣା ଦିନରେ ବେଦିର ପ୍ରତିଷ୍ଠା ନିମନ୍ତେ ଉପହାର ଉତ୍ସର୍ଗ କରିବେ।”
04070c00cf	ତହିଁରେ ପ୍ରଥମ ଦିନ ଯିହୁଦା ବଂଶଜାତ ଅମ୍ମୀନାଦବର ପୁତ୍ର ନହଶୋନ ଆପଣା ଉପହାର ଉତ୍ସର୍ଗ କଲା;
