0100000009	1 Mosebog
051612002f	Da skal Byens Ældste tage Manden og revse ham;
05161300fc	og de skal paalægge ham en Bøde paa hundrede Sekel Sølv og give den unge Kvindes Fader dem, fordi han udspredte ondt Rygte om en Jomfru i Israel. Og han skal beholde hende som Hustru og har ikke Lov til at skille sig fra hende, saa længe han lever.
051614004d	Men hvis Beskyldningen er sand, hvis den unge Kvindes Jomfrutegn ikke findes,
05161500e6	skal man føre hende hen foran hendes Faders Husdør, og Mændene i hendes By skal stene hende til Døde, fordi hun har begaaet en Udaad i Israel ved at bedrive Hor i sin Faders Hus. Saaledes skal du udrydde det onde af din Midte.
05161600a5	Naar en Mand gribes i Samleje med en gift Kvinde, skal de begge dø, baade Manden, der laa hos Kvinden, og Kvinden selv. Saaledes skal du udrydde det onde af Israel.
0516170064	Naar en Mand inde i Byen træffer en Jomfru, der er trolovet med en anden, og har Samleje med hende,
05161800ce	skal I føre dem begge ud til Byens Port og stene dem til Døde, Pigen fordi hun ikke skreg om Hjælp i Byen, og Manden, fordi han krænkede sin Næstes Brud. Saaledes skal du udrydde det onde af din Midte.
0516190091	Men hvis Manden træffer den trolovede Pige ude i det fri og tiltvinger sig Samleje med hende, skal kun Manden, der havde Samleje med hende, dø.
05161a00a7	Pigen derimod skal du ikke gøre noget; hun har ikke begaaet nogen Synd, som fortjener Døden; thi dermed er det, som naar en overfalder sin Næste og slaar ham ihjel;
05161b005d	han traf hende jo ude i det fri, og den trolovede Pige skreg, men ingen kom hende til Hjælp.
05161c007b	Naar en Mand træffer en Jomfru, der ikke er trolovet, og tiltvinger sig Samleje med hende, og de gribes paa fersk Gerning,
05161d00d6	skal den Mand, der havde Samleje med hende, give Pigens Fader halvtredsindstyve Sekel Sølv og tage hende til Ægte, fordi han krænkede hende; og han har ikke Ret til at skille sig fra hende, saa længe han lever.
05161e0041	Ingen maa ægte sin Faders Hustru eller løfte sin Faders Tæppe.
0517010050	Ingen, der er gildet ved Knusning eller Snit, har Adgang til HERRENS Forsamling.
051702008f	Ingen, som er født i blandet Ægteskab, har Adgang til HERRENS Forsamling; end ikke i tiende Led har hans Afkom Adgang til HERRENS Forsamling.
051703008e	Ingen Ammonit eller Moabit har Adgang til HERRENS Forsamling; end ikke i tiende Led har deres Afkom nogen Sinde Adgang til HERRENS Forsamling,
05170400bd	fordi de ikke kom eder i Møde med Brød eller Vand undervejs, da I drog bort fra Ægypten, og fordi han lejede Bileam, Beors Søn, fra Petor i Aram-Naharajim, imod dig til at forbande dig;
051705008d	men HERREN din Gud vilde ikke høre paa Bileam, og HERREN din Gud forvandlede Forbandelsen til Velsignelse, fordi HERREN din Gud elskede dig.
0517060040	Du skal aldrig i Evighed bekymre dig om deres Velfærd og Lykke!
051707008e	Derimod maa du ikke afsky Edomiterne, thi det er dine Brødre. Heller ikke Ægypterne maa du afsky, thi du har levet som fremmed i deres Land.
0517080047	Deres Efterkommere maa have Adgang til HERRENS Forsamling i tredje Led.
051709006b	Naar du gaar i Krig mod dine Fjender og lægger dig i Lejr, saa vogt dig for alt, hvad der er utilbørligt.
05170a008a	Findes der nogen hos dig, der paa Grund af en natlig Hændelse ikke er ren, skal han gaa uden for Lejren, han maa ikke komme ind i Lejren;
05170b0073	naar det lakker mod Aften, skal han tvætte sig med Vand, og naar Solen gaar ned, maa han atter komme ind i Lejren.
05170c004c	Du skal have en afsides Plads uden for Lejren, hvor du kan gaa for dig selv;
05170d008a	og du skal have en Pind i dit Bælte, og naar du sætter dig derude, skal du med den grave et Hul og bagefter tildække dine Udtømmelser.
05170e00d8	Thi HERREN din Gud drager med midt i din Lejr for at hjælpe dig og give dine Fjender i din Magt; derfor skal din Lejr være hellig, for at han ikke skal se noget hos dig, der vækker Væmmelse, og vende sig fra dig.
05170f006b	Du maa ikke udlevere en Træl til hans Herre, naar han er flygtet fra sin Herre og søger Tilflugt hos dig.
0517100089	Han maa tage Ophold i din Midte paa det Sted, han selv vælger, inden dine Porte, hvor han helst vil være, og du maa ikke gøre ham Men.
051711005c	Ingen af Israels Døtre maa være Skøge, og ingen af Israels Sønner maa være Mandsskøge.
051712009d	Du maa ikke for at opfylde et Løfte bringe Skøgefortjeneste eller Hundeløn til HERREN din Guds Hus; thi begge dele er HERREN din Gud en Vederstyggelighed.
051713006a	Du maa ikke tage Rente af din Broder, hverken af Penge, Fødevarer eller andet, som man kan tage Rente af.
05171400aa	Af Udlændinge maa du tage Rente, men ikke af din Broder, hvis HERREN din Gud skal velsigne dig i alt, hvad du tager dig for i det Land, du skal ind og tage i Besiddelse.
05171500a3	Naar du aflægger et Løfte til HERREN din Gud, maa du ikke tøve med at indfri det; thi ellers vil HERREN din Gud kræve det af dig, og du vil paadrage dig Skyld.
0517160047	Men hvis du undlader at aflægge Løfter, paadrager du dig ingen Skyld.
0517170087	Hvad du engang har sagt, skal du holde, og du skal gøre, hvad du frivilligt har lovet HERREN din Gud, hvad du har udtalt med din Mund.
051718008e	Naar du kommer ind i din Næstes Vingaard, maa du spise alle de Druer, du har Lyst til, saa du bliver mæt; men du maa ingen komme i din Kurv.
051719007c	Naar du gaar igennem din Næstes Sæd, maa du plukke Aks med din Haand, men du maa ikke komme til din Næstes Sæd med Segl.
05180100e8	Naar en Mand tager en Kvinde til Ægte, og hun ikke vinder hans Yndest, fordi han finder noget ved hende, der vækker Ubehag hos ham, og han skriver hende et Skilsmissebrev og giver hende det i Hænde og sender hende ud af sit Hjem,
0518020053	saa maa hun efter at have forladt hans Hjem gaa hen og gifte sig med en anden Mand;
05180300c8	faar denne anden Mand ogsaa Uvilje imod hende og skriver hende et Skilsmissebrev og giver hende det i Hænde og sender hende ud af sit Hjem, eller dør den anden Mand, der havde taget hende til Ægte,
05180400f8	saa har hendes første Mand, som havde sendt hende bort, ikke Ret til igen at tage hende til Hustru, efter at hun er blevet uren. Thi det er HERREN en Vederstyggelighed, og du maa ikke bringe Brøde over det Land, HERREN din Gud vil give dig i Eje.
05180500e3	Naar en Mand nylig har taget sig en Hustru, skal han ikke drage med i Krig, og der skal ikke paalægges ham nogen som helst Forpligtelse; han skal have Frihed til at blive hjemme et Aar og glæde sin Hustru, som han har ægtet.
0518060074	Man maa ikke tage en Haandkværn i Pant, heller ikke den øverste Møllesten; thi det var at tage Livet selv i Pant.
05180700b8	Naar nogen gribes i at stjæle en af sine Brødre blandt Israeliterne og gør ham Fortræd eller sælger ham, da skal en saadan Tyv lade sit Liv. Du skal udrydde det onde af din Midte.
05180800a1	Tag dig i Vare med Spedalskhed, saa du meget omhyggeligt handler efter alt, hvad Levitpræsterne lærer eder; som jeg har paabudt dem, skal I omhyggeligt handle.
0518090057	Kom i Hu, hvad HERREN din Gud gjorde ved Mirjam undervejs, da I drog bort fra Ægypten.
05180a0058	Naar du yder din Næste et Laan, maa du ikke gaa ind i hans Hus for at tage Pant af ham.
05180b005b	Du skal blive staaende udenfor, og den Mand, du yder Laanet, skal bringe Pantet ud til dig.
05180c004b	Hvis han er en fattig Mand, maa du ikke lægge dig til Hvile med hans Pant;
05180d00b4	ved Solnedgang skal du give ham Pantet tilbage, for at han kan lægge sig til Hvile i sin Kappe. Da velsigner han dig derfor, og du staar retfærdiggjort for HERREN din Guds Aasyn.
05180e0097	Du maa ikke forurette en nødlidende, fattig Daglejer, hvad enten han hører til dine Brødre eller de fremmede inden dine Porte nogetsteds i dit Land.
05180f00c3	Dag for Dag skal du give ham hans Løn, saa at Solen ikke gaar ned derover, thi han er nødlidende og venter med Længsel derpaa. Ellers raaber han til HERREN over dig, og du paadrager dig Skyld.
051810008b	Fædre skal ikke lide Døden for Børns Skyld, og Børn skal ikke lide Døden for Fædres Skyld. Enhver skal lide Døden for sin egen Synd.
0518110069	Du maa ikke bøje Retten for den fremmede og den faderløse, og du maa ikke tage Enkens Klædning i Pant.
051812007c	Men kom i Hu, at du var Træl i Ægypten, og at HERREN din Gud udløste dig derfra. Derfor byder jeg dig at handle saaledes.
05181300ef	Naar du bjærger din Høst paa din Mark og glemmer et Neg paa Marken, maa du ikke vende tilbage for at hente det; det skal tilfalde den fremmede, den faderløse og Enken, for at HERREN din Gud kan velsigne dig i alt, hvad du tager dig for.
0518140081	Naar du slaar dine Oliven ned, maa du ikke bagefter gennemsøge Grenene; den fremmede, den faderløse og Enken skal det tilfalde.
051815006f	Naar du høster din Vin, maa du ikke holde Efterhøst; den fremmede, den faderløse og Enken skal det tilfalde.
0518160053	Kom i Hu, at du selv var Træl i Ægypten; derfor byder jeg dig at handle saaledes.
0519010092	Naar der opstaar Strid mellem Mænd, og de møder for Retten, skal man dømme dem imellem; den, der har Ret, skal frikendes, den skyldige dømmes.
051902009f	Og dersom den skyldige idømmes Prygl, skal Dommeren lade ham lægge sig paa Jorden og i sit Paasyn lade ham faa det Antal Slag, der svarer til hans Forseelse.
0519030090	Fyrretyve Slag maa han lade ham faa, men heller ikke flere, for at din Broder ikke skal vanæres for dine Øjne, naar han faar endnu flere Slag.
051904003c	Du maa ikke binde Munden til paa en Okse, naar den tærsker.
0519050100	Naar flere Brødre bor sammen, og en af dem dør uden at efterlade sig nogen Søn, maa hans Enke ikke gifte sig med en fremmed Mand uden for Slægten; men hendes Svoger skal gaa til hende og tage hende til Ægte, idet han indgaar Svogerægteskab med hende.
0519060075	Og den første Søn, hun føder, skal bære den afdøde Broders Navn, for at hans Navn ikke skal udslettes af Israel.
05190700de	Men hvis Manden er uvillig til at ægte sin Svigerinde, skal hun gaa hen til de Ældste i Byporten og sige: »Min Svoger vægrer sig ved at opretholde sin Broders Navn i Israel og vil ikke indgaa Svogerægteskab med mig!«
0519080098	Derpaa skal de Ældste i Byen stævne ham for sig og tale ham til, og hvis han da fastholder sin Beslutning og erklærer sig uvillig til at ægte hende,
05190900d5	skal hans Svigerinde i de Ældstes Paasyn gaa hen til ham, drage hans Sko af hans Fod og spytte ham i Ansigtet og tage til Orde og sige: »Saaledes gør man ved den Mand, som ikke vil opbygge sin Broders Slægt!«
05190a0035	Og hans Navn i Israel skal være: den barfodedes Hus.
05190b00ae	Naar der opstaar Trætte mellem to Mænd, og den enes Hustru kommer til for at fri sin Mand fra den andens Slag, og hun rækker sin Haand ud og tager fat i den andens Blusel,
05190c003c	da skal du hugge hendes Haand af; du maa ikke vise Skaansel.
05190d0044	Du maa ikke have to Slags Vægtlodder i din Pung, større og mindre.
05190e0043	Du maa ikke have to Slags Efaer i dit Hus, en større og en mindre.
05190f0084	Fuldvægtige Lodder og Efaer, der holder Maal, skal du have, for at du kan faa et langt Liv i det Land, HERREN din Gud vil give dig.
0519100060	Thi en Vederstyggelighed for HERREN din Gud er enhver, der øver sligt, enhver, der begaar Svig.
0519110053	Kom i Hu, hvad Amalekiterne gjorde imod dig undervejs, da I drog bort fra Ægypten,
0519120082	hvorledes de kom imod dig undervejs og uden at frygte Gud huggede alle dine udmattede Efternølere ned, da du var træt og mødig.
05191300b7	Naar derfor HERREN din Gud giver dig Ro for alle dine Fjender rundt om i det Land, HERREN din Gud vil give dig i Arv og Eje, da skal du udrydde ethvert Minde om Amalek. Glem det ikke!
051a010071	Naar du kommer ind i det Land, HERREN din Gud giver dig til Arv, og tager det i Besiddelse og bosætter dig deri,
051a0200dc	skal du tage en Del af Førstegrøden af alle de Jordens Frugter, som du høster af det Land, HERREN din Gud giver dig, og lægge dem i en Kurv og begive dig til det Sted, HERREN din Gud udvælger til Bolig for sit Navn.
051a0300c7	Naar du saa kommer til den Præst, som er der paa den Tid, skal du sige til ham: »Jeg vidner i Dag for HERREN din Gud, at jeg er kommet ind i det Land, HERREN tilsvor vore Fædre at ville give os.«
051a040059	Saa skal Præsten tage Kurven af din Haand og sætte den hen foran HERREN din Guds Alter.
051a0500ec	Derpaa skal du tage til Orde og sige for HERREN din Guds Aasyn: »En omvankende Aramæer var min Stamfader; han drog ned til Ægypten og boede der som fremmed med nogle faa Mænd, men der blev han til et stort, mægtigt og talrigt Folk.
051a06004e	Men Ægypterne mishandlede og plagede os og paalagde os haardt Trællearbejde;
051a070074	da raabte vi til HERREN, vore Fædres Gud, og HERREN hørte vor Røst og saa til vor Elendighed, Møje og Trængsel;
051a08007e	og HERREN førte os ud af Ægypten med stærk Haand og udstrakt Arm, med store, forfærdelige Gerninger og med Tegn og Undere;
051a09005f	og han førte os til dette Sted og gav os dette Land, et Land, der flyder med Mælk og Honning.
051a0a00b9	Og her bringer jeg nu Førstegrøden af Frugterne af den Jord, du har givet mig, HERRE!« Derpaa skal du stille Kurven hen for HERREN din Guds Aasyn og tilbede for HERREN din Guds Aasyn
051a0b0085	og saa være glad over alt det gode, HERREN din Gud giver dig, sammen med din Husstand, Leviten og den fremmede, der bor i din Midte.
051a0c00cb	Naar du det tredje Aar, Tiendeaaret, er færdig med at aflevere hele Tienden af din Afgrøde og har givet Leviten, den fremmede, den faderløse og Enken den, saa de kan spise sig mætte inden dine Porte,
051a0d0101	da skal du sige for HERREN din Guds Aasyn: »Jeg har leveret det hellige ud fra mit Hus, jeg har ogsaa givet Leviten, den fremmede, den faderløse og Enken det efter alt dit Bud, som du har givet os; jeg har ikke overtraadt noget af dine Bud og intet glemt.
051a0e00d7	Jeg har ikke spist deraf, medens jeg havde Sorg, jeg har ikke været uren, da jeg afleverede det, og jeg har ikke givet en død noget deraf, jeg har adlydt HERREN min Guds Røst, jeg har handlet nøje efter dit Bud.
051a0f00ad	Se derfor ned fra din hellige Bolig, fra Himmelen, og velsign dit Folk Israel og den Jord, du gav os, som du tilsvor vore Fædre, et Land, der flyder med Mælk og Honning!«
051a10008d	I Dag byder HERREN din Gud dig at handle efter disse Anordninger og Lovbud; hold dem derfor omhyggeligt af hele dit Hjerte og hele din Sjæl!
051a1100a3	Du har i Dag ladet HERREN tilsige dig, at han vil være din Gud, og at han vil sætte dig højt over alle Folk, som han har skabt, til Pris og Berømmelse og Ære.
051a120083	Og HERREN har i Dag ladet dig tilsige ham, at du vil være hans Ejendomsfolk, som han har sagt dig, og tage Vare paa alle hans Bud,
051a1300a1	og at du vil gaa paa hans Veje og holde hans Anordninger, Bud og Lovbud og høre hans Røst, og at du vil være HERREN din Gud et helligt Folk, som han har sagt.
051b01005b	Derpaa bød Moses og Israels Ældste Folket: »Hold alle de Bud, jeg i Dag paalægger eder!
051b020082	Og den Dag I gaar over Jordan ind i det Land, HERREN din Gud vil give dig, skal du oprejse dig nogle store Sten og kalke dem over,
051b0300e0	og paa dem skal du skrive alle denne Lovs Ord, saa snart du er kommet over, for at du kan drage ind i det Land, HERREN din Gud vil give dig, et Land, der flyder med Mælk og Honning, som HERREN, dine Fædres Gud, lovede dig.
051b040086	Og naar I er kommet over Jordan, skal I oprejse disse Sten, om hvilke jeg i Dag giver eder Paalæg, paa Ebals Bjerg og kalke dem over.
051b050062	Og der skal du bygge HERREN din Gud et Alter, et Alter af Sten, som du ikke har svunget Jern over;
051b06006d	af utilhugne Sten skal du bygge HERREN din Guds Alter, og paa det skal du ofre Brændofre til HERREN din Gud,
051b070055	og du skal ofre Takofre og holde Maaltid der og være glad for HERREN din Guds Aasyn.
051b080046	Og paa Stenene skal du skrive alle denne Lovs Ord tydeligt og klart!«
051b090088	Derpaa talte Moses og Levitpræsterne til hele Israel og sagde: »Hør efter i Stilhed, Israel! I Dag er du blevet HERREN din Guds Folk!
051b0a0065	Saa lyt da til HERREN din Guds Røst og hold hans Bud og Anordninger, som jeg i Dag paalægger dig!«
051b0b0023	Og Moses bød paa denne Dag Folket:
051b0c00a5	»Naar I er kommet over Jordan, skal den ene Del af eder tage Plads paa Garizims Bjerg for at velsigne Folket, nemlig Simeon, Levi, Juda, Issakar, Josef og Benjamin;
051b0d0071	og den anden skal tage Plads paa Ebals Bjerg for at forbande, nemlig Ruben, Gad, Aser, Zebulon, Dan og Naftali.«
051b0e004e	Og Leviterne skal tage til Orde og med høj Røst sige til alle Israels Mænd:
051b0f00c7	»Forbandet være den, som laver et udskaaret eller støbt Billede, HERREN en Vederstyggelighed, Værk af en Haandværkers Hænder, og stiller det op i Løndom!« Og hele Folket skal svare: »Amen!«
051b100060	»Forbandet enhver, som ringeagter sin Fader eller Moder!« Og hele Folket skal svare: »Amen!«
051b110058	»Forbandet enhver, som flytter sin Næstes Skel!« Og hele Folket skal svare: »Amen!«
051b12005e	»Forbandet enhver, som fører den blinde paa Vildspor!« Og hele Folket skal svare: »Amen!«
051b130077	»Forbandet enhver, som bøjer Retten for den fremmede, den faderløse og Enken!« Og hele Folket skal svare: »Amen!«
051b140088	»Forbandet enhver, som har Samleje med sin Faders Hustru; thi han har løftet sin Faders Tæppe!« Og hele Folket skal svare: »Amen!«
051b150060	»Forbandet enhver, som har Omgang med noget Slags Kvæg!« Og hele Folket skal svare: »Amen!«
051b16007b	»Forbandet enhver, som har Samleje med sin Søster, sin Faders eller Moders Datter!« Og hele Folket skal svare: »Amen!«
051b170061	»Forbandet enhver, som har Samleje med sin Hustrus Moder!« Og hele Folket skal svare: »Amen!«
051b180055	»Forbandet enhver, som snigmyrder sin Næste!« Og hele Folket skal svare: »Amen!«
051b190068	»Forbandet enhver, som lader sig købe til at myrde en uskyldig!« Og hele Folket skal svare: »Amen!«
051b1a0077	»Forbandet enhver, som ikke holder denne Lovs Ord i Hævd og handler efter dem!« Og hele Folket skal svare: »Amen!«
051c0100ac	Men dersom du adlyder HERREN din Guds Røst og handler efter alle hans Bud, som jeg i Dag paalægger dig, saa vil HERREN din Gud sætte dig højt over alle Folk paa Jorden;
051c020062	og alle disse Velsignelser vil komme over dig og naa dig, dersom du adlyder HERREN din Guds Røst:
051c030048	Velsignet skal du være i Staden, og velsignet skal du være paa Marken!
051c04006a	Velsignet dit Livs, din Jords og dit Kvægs Frugt, baade Tillægget af dine Okser og dit Smaakvægs Yngel!
051c050023	Velsignet din Kurv og dit Dejgtrug!
051c060057	Velsignet skal du være, naar du gaar ind, og velsignet skal du være, naar du gaar ud!
051c070099	Naar dine Fjender rejser sig imod dig, skal HERREN slaa dem paa Flugt foran dig; ad een Vej skal de drage ud imod dig, men ad syv skal de flygte for dig.
051c080092	HERREN skal byde sin Velsignelse være med dig i dine Lader og i alt, hvad du tager dig for, og velsigne dig i det Land, HERREN din Gud giver dig.
051c09007d	HERREN skal gøre dig til sit hellige Folk, som han tilsvor dig, naar du holder HERREN din Guds Bud og vandrer paa hans Veje.
051c0a0051	Og alle Jordens Folk skal se, at HERRENS Navn er nævnet over dig, og frygte dig.
051c0b009f	HERREN skal give dig Goder i Overflod, Frugt af dit Moderliv, Frugt af dit Kvæg og Frugt af din Jord i det Land, HERREN tilsvor dine Fædre at ville give dig.
051c0c00ce	HERREN skal aabne dig sit rige Forraadskammer, Himmelen, for at give dit Land Regn i rette Tid og for at velsigne alt, hvad du tager dig for, og du skal laane ud til mange Folk, men selv skal du ikke laane.
051c0d00cb	HERREN skal gøre dig til Hoved og ikke til Hale, og det skal stadig gaa opad for dig og ikke nedad, naar du lytter til HERREN din Guds Bud, som jeg i Dag paalægger dig, og omhyggeligt handler efter dem
051c0e0084	uden at vige til højre eller venstre fra noget af de Bud, jeg i Dag paalægger eder, ved at holde dig til andre Guder og dyrke dem.
051c0f00c3	Men hvis du ikke adlyder HERREN din Guds Røst og omhyggeligt handler efter alle hans Bud og Anordninger, som jeg i Dag paalægger dig, saa skal alle disse Forbandelser komme over dig og naa dig:
051c100048	Forbandet skal du være i Staden, og forbandet skal du være paa Marken!
051c110023	Forbandet din Kurv og dit Dejgtrug!
051c120058	Forbandet dit Livs og din Jords Frugt, Tillægget af dine Okser og dit Smaakvægs Yngel!
051c130057	Forbandet skal du være, naar du gaar ind, og forbandet skal du være, naar du gaar ud!
051c1400cd	HERREN skal sende Forbandelsen, Rædselen og Truselen over dig i alt, hvad du tager dig for, indtil du i en Hast bliver tilintetgjort og gaar til Grunde for dine onde Gerningers Skyld, fordi du forlod mig.
051c150078	HERREN skal lade Pesten hænge ved dig, indtil den helt har udryddet dig fra det Land, du skal ind og tage i Besiddelse.
051c16009c	HERREN skal ramme dig med Svindsot, Feberglød, Betændelse og Hede, med Tørke, Kornbrand og Rust, og de skal forfølge dig, indtil du er gaaet til Grunde.
051c170049	Himmelen over dit Hoved skal blive som Kobber, Jorden under dig som Jern.
051c18007a	Regnen over dit Land skal HERREN forvandle til Sand og Støv, som falder ned over dig fra Himmelen, indtil du er ødelagt.
051c1900aa	HERREN skal slaa dig foran dine Fjender; ad een Vej skal du drage ud imod dem, men ad syv skal du flygte for dem, og du skal blive en Skræmsel for alle Riger paa Jorden.
051c1a0069	Dine Lig skal blive Føde for alle Himmelens Fugle og Jordens vilde Dyr, og ingen skal skræmme dem bort.
051c1b005c	HERREN skal slaa dig med Ægyptens Svulster, med Bylder, Skab og Skurv, der ikke kan læges.
051c1c0036	HERREN skal slaa dig med Vanvid, Blindhed og Vildelse.
051c1d00c3	Ved højlys Dag skal du famle dig frem, som den blinde famler sig frem i Mørket; alt, hvad du tager dig for, skal mislykkes for dig, du skal kues og plyndres alle Dage, og ingen skal frelse dig.
051c1e00a4	Den Kvinde, du trolover dig med, skal en anden favne; det Hus, du bygger dig, skal du ikke komme til at bo i; den Vingaard, du planter, skal du ikke plukke Druer i;
051c1f00c7	din Okse skal slagtes for dine Øjne, men du skal ikke spise deraf; dit Æsel skal røves i dit Paasyn og ikke komme tilbage til dig; dit Smaakvæg skal komme i Fjendevold, og ingen skal hjælpe dig;
051c2000a1	dine Sønner og Døtre skal prisgives et fremmed Folk, og med egne Øjne skal du se det og vansmægte af Længsel efter dem Dagen lang, uden at du formaar noget.
051c210077	Frugten af dit Land og af al din Møje skal fortæres af et Folk, du ikke kender; du skal kues og mishandles alle Dage;
051c220033	du skal blive afsindig ved alt, hvad du maa se paa.
051c230066	HERREN skal slaa dig paa Knæ og Læg med onde Svulster, der ikke kan læges, ja fra Fodsaal til Isse.
051c2400ae	Dig og din Konge, som du sætter over dig, skal HERREN føre til et Folk, som hverken du eller dine Fædre før kendte til, og der skal du dyrke fremmede Guder, Træ og Sten.
051c250053	Du skal blive til Rædsel, Spot og Spe for alle de Folk, HERREN fører dig hen til.
051c260068	Udsæd i Mængde skal du bringe ud paa Marken, men kun høste lidt, thi Græshopperne skal fortære den;
051c270078	Vingaarde skal du plante og dyrke, men Vin skal du ikke komme til at drikke eller oplagre, thi Ormene skal opæde Druen;
051c28007e	Oliventræer skal du have overalt i dit Land, men med Olie skal du ikke komme til at salve dig, thi dine Oliven skal falde af.
051c29005b	Sønner og Døtre skal du avle, men du skal ikke beholde dem, thi de skal gaa i Fangenskab.
051c2a0046	Alle dine Træer og dit Lands Afgrøde skal Insekterne bemægtige sig.
051c2b0071	Den fremmede, som er hos dig, skal hæve sig op over dig, højere og højere, men du skal synke dybere og dybere.
051c2c0062	De skal laane til dig, men du skal ikke laane til dem; de skal blive Hoved, og du skal blive Hale.
051c2d00c3	Alle disse Forbandelser skal komme over dig, forfølge dig og naa dig, til du er lagt øde, fordi du ikke adlød HERREN din Guds Røst, saa du holdt hans Bud og Anordninger, som han paalagde dig;
051c2e0040	de skal til evig Tid følge dig og dit Afkom som Tegn og Undere.
051c2f0069	Eftersom du ikke vilde tjene HERREN din Gud med Fryd og Hjertens Glæde, fordi du havde Overflod paa alt,
051c3000c0	skal du komme til at tjene dine Fjender, som HERREN vil sende imod dig, under Hunger og Tørst, Nøgenhed og Mangel paa alt; han skal lægge Jernaag paa din Nakke, indtil de har lagt dig øde.
051c31008e	HERREN skal opbyde imod dig et Folk fra det fjerne, fra Jordens yderste Ende, et Folk med Ørnens Flugt, et Folk, hvis Sprog du ikke forstaar,
051c320061	et Folk med haarde Ansigter, der ikke tager Hensyn til de gamle eller viser Skaansel mod de unge;
051c3300cb	det skal opæde dit Kvægs og din Jords Frugt, indtil du er lagt øde; det skal ikke levne dig Korn, Most eller Olie, tillæg af dine Okser eller Yngel af dit Smaakvæg, indtil det har tilintetgjort dig;
051c3400e0	det skal belejre dig i alle dine Byer, indtil dine høje, stærke Mure, som du stoler paa, er styrtet sammen overalt i dit Land; det skal besejre dig overalt inden dine Porte overalt i dit Land, som HERREN din Gud giver dig.
051c35009c	Og du skal fortære din Livsfrugt, Kødet af dine Sønner og Døtre, som HERREN din Gud giver dig, under den Trængsel og Nød, din Fjende bringer over dig;
051c3600a6	selv den mest forvænte og blødagtige af dine Mænd skal se skævt til sin Broder, til sin Hustru, der hviler i hans Favn, og til de sidste Sønner, han har tilbage,
051c3700c2	saa han ikke under en eneste af dem Kødet af sine Børn, som han fortærer, fordi der ikke er levnet ham noget under den Trængsel og Nød, din Fjende bringer over dig overalt inden dine Porte.
051c3800e1	Og den mest forvænte og blødagtige af dine Kvinder, som aldrig har prøvet at træde med sin Fod paa Jorden for Blødagtighed og Forvænthed, skal se skævt til sin Mand, der hviler i hendes Favn, og til sin Søn og Datter,
051c3900d4	saa hun ikke under dem Efterbyrden, der gaar fra hende, eller de Børn, hun føder; men i Mangel paa alt fortærer hun dem selv i Løndom under den Trængsel og Nød, din Fjende bringer over dig inden dine Porte!
051c3a009a	Hvis du ikke omhyggeligt handler efter alle denne Lovs Ord, som staar skrevet i denne Bog, og frygter dette herlige og forfærdelige Navn, HERREN din Gud,
051c3b007b	saa skal HERREN sende uhørte Plager over dig og dit Afkom, svare og vedholdende Plager og ondartede, vedholdende Sygdomme,
051c3c005d	og lade alle Ægyptens Sygdomme, som du gruer for, komme over dig, og de skal hænge ved dig;
051c3d0089	ja endog alle mulige Sygdomme og Plager, som der ikke er skrevet om i denne Lovbog, skal HERREN lade komme over dig, til du er lagt øde.
051c3e0091	Medens I før var talrige som Himmelens Stjerner, skal der kun blive nogle faa Mænd tilbage af eder, fordi du ikke adlød HERREN din Guds Røst.
051c3f00fb	Og ligesom HERREN før havde sin Glæde af at gøre vel imod eder og gøre eder mangfoldige, saaledes skal HERREN da have sin Glæde af at tilintetgøre eder og lægge eder øde, og I skal drives bort fra det Land, du nu skal ind og tage i Besiddelse.
051c4000c1	HERREN skal adsplitte dig blandt alle Folkeslagene fra den ene Ende af Jorden til den anden, og der skal du dyrke fremmede Guder, som hverken du eller dine Fædre før kendte til, Træ og Sten;
051c4100a5	og blandt disse Folk skal du ikke faa Ro eller finde Hvile for din Fod; thi der skal HERREN give dig et skælvende Hjerte, udtærede Øjne og en vansmægtende Sjæl.
051c42007c	Det skal synes dig, som hang dit Liv i en Traad; du skal ængstes ved Dag og ved Nat og aldrig føle dig sikker paa dit Liv.
051c4300af	Om Morgenen skal du sige: »Gid det var Aften!« Og om Aftenen: »Gid det var Morgen!« Saadan Angst skal du gribes af, og saa forfærdeligt bliver det, dine Øjne faar at se.
051c4400f9	Og HERREN skal føre dig tilbage til Ægypten paa Skibe, ad den Vej, som jeg lovede dig, du aldrig mere skulde faa at se; og der skal I stille eder til Salg for eders Fjender som Trælle og Trælkvinder, men der skal ingen være, som vil købe eder!
051d01008a	Det er den Pagts Ord, som HERREN bød Moses at slutte med Israeliterne i Moabs Land foruden den Pagt, han havde sluttet med dem ved Horeb.
051d0200a3	Og Moses kaldte hele Israel sammen og sagde til dem: I har set alt, hvad HERREN i Ægypten for eders Øjne gjorde ved Farao og alle hans Tjenere og hele hans Land,
051d030046	de store Prøvelser, I saa med egne Øjne, disse store Tegn og Undere.
051d04007a	Men hidindtil har HERREN ikke givet eder Hjerte til at forstaa med eller Øjne til at se med eller Ører til at høre med.
051d050096	I fyrretyve Aar har jeg ført eder om i Ørkenen; eders Klæder blev ikke slidt af Kroppen paa eder, og dine Sko blev ikke slidt af Fødderne paa dig;
051d060079	Brød fik I ikke at spise, og Vin og stærk Drik fik I ikke at drikke, for at I skulde kende, at jeg er HERREN eders Gud.
