2800000006	iMatiu
2a0935004b	kpaa inggisɛ emi imbe na gban ba, ikyekyɛ o dzɛ yi oweka olu iJerosalin.
2a09360088	Onɔ ngwi iJɛnsi yi iJɔn di ungwɔnɛ nɛ, a gbɛɛ, “Otsɛ, i mina abu gbɛɛ ni eyi kwu ola ela mi esho ba esɛ wa kye ma gyee?”
2a0937001f	Nghaduu iYesu kyata fwa yi ama,
2a09380015	ta a si lu agwɔ oka.
2a0939007b	Dafi emi iYesu le lu ofɛ mgbi ama nɛ, ongyulɔ oka nya iYesu gbɛɛ, “N ka kyɛdɔ abu ali imbe ngwi abu le kɛ duu.”
2a093a0086	IYesu nyan gbɛɛ, “Emi ogbalinya to yi ishɛ, ingwunɔ emi esho dzɛ yi udɛ, kpaa Ongwɛ Inggisɛ dzɛ yi imbe okye ikye da ba.”
2a093b0097	O di nya inggisɛ oka gbɛɛ, “Kyɛdɔ ani.” Kpaa ongyulɔ ma gbɛɛ, “Otsɛ, ababɔ nu ani ofɛ nin ka gbinɛbyi otsani nghataa kyon ndzi se.”
2a093c0066	IYesu nyan gbɛɛ, “Ni emi ikwukwɔ ndzi ewoma, kpaa abu lu ka gbeesɔ mgbi esutɔ mgbi Imgbasho.”
2a093d0065	Inggisɛ oka di gbɛɛ, “N ka kyɛdɔ abu, Otsɛ; kpaa nin ka nya emidani gbɛɛ se egbe oka se.”
2a093e009f	IYesu si nyan gbɛɛ, “Inggisɛ nkye abɔ byi ikwukwɔ oshookwɔ, wita oshookwɔ diyɛ le ndinɛ kɛ iyikpa yɔ, o mɛ unkonyi mi esutɔ mgbi Imgbasho ba.”
2a0a010092	Ta Otsɛ iYesu dulu inggisɛ ngwuseta dɔn iwyo diwyefa. Si dɔ ma esɔ efefa, nu ma teyi ongwu kɛ ali igeli bɛyi imbe ngwi ongwu ka wa kɛ duu.
2a0a0200aa	O nya ma gbɛɛ, “Etɔ oshɛ-shɛ le kwuba, kpaa emi idɔ le gwee ta. Ema bibɔ mbi Otsɛ Imgbasho mgbi etɔ oshɛ-shɛ, non dɔ emi idɔ mgban esɔ nu ma wa shɛ etɔ.
2a0a030050	Lu na! Lubana ani le dɔ ema esɔ dafi engwɛ mmala mi ifu emi idukwlɛbɛ mani.
2a0a040067	Ka kye ashiko naadi igbe okɛ agaba hona okpafɔ oka ba. Ka kwulɛsɛ mi ofɛ tangba yi inggisɛ ba na.
2a0a050062	“Onɔ ngwi ema kaka udɛ inggisɛ yɔ, tsekise gbɔgbɛɛ, iyu mgbi Imgbasho no dzɛ udɛ nɛni.
2a0a06008a	Kini inggisɛ iyu dzɛ udɛ na yɔ, iyu mgbi Imgbasho ka kaka mbi otsungwɔn, kpaa ki no dzɛma ba, iyu mgbi Imgbasho ka yɛ luba mbi ema.
2a0a07007f	Ka kyikyɛ mi udɛ-udɛ ba na. La mbonyi, le gye, diyɛ wa alungwɔ ngwi a kye nu ema duu, lubana inggisɛ idɔ gyɔ ni a kpan.
2a0a080052	“Ni ema kaka igeli, nu ma kyɔ ema onɔ yɔ, gye alungwɔ ngwi a kye nu ema duu.
2a0a090062	Bwe ama ndotse to ele ma na, diyɛ nya ma gbɛɛ: ‘Esutɔ mgbi Imgbasho dzɛ kwɛkwɛ yi ema.’
2a0a0a003f	Nghaduu, igeli nfwa ogbɛ ema yɔ, tasɛ lu ingɔfɛ ka gbɛɛ,
2a0a0b009d	‘Ombulu ongwi ogalu mgbi ema nto eyi ka afɔ nɛ, eyi ka kye gbolu dafi ambɛ adɔ okwookwo mbi ema. Di ye na gbɛɛ esutɔ mgbi Imgbasho dzɛ kwɛkwɛ.’
2a0a0c004c	N nya ema gbɛɛ, mi egbe na ka tatase lo ogalu mgbi iSodon ngha ogalu nani.
2a0a0d00fc	“Ahoo! Abu ogalu mgbi iKoradzin yi abu iBɛtsaida; ema ka gyadzɛ. Ikyekyɛ ungwɔ okwulewo ongwi a kyɔ mbi ema nɛ, ki li mi ogalu mgbi iTiru yi iSidon yɔ, a ki kyatitukwu mi ali ibwubwe mgbi ama gbegbe, a ki kye ishangli wo ewo yɛ myini mi utɔ.
2a0a0e003d	Nghaduu ka tatase mbi iTiru yi iSidon mi egbe ikwɔ ngha ema.
2a0a0f0064	Abu ogalu mgbi iKapenahun, a ka kyile abu esho wɛ? Ei, abu ka lu esɛ mi imbe mgbi emi ikwukwɔ.”
2a0a10008b	IYesu si nya ama okyɛ yan gbɛɛ, “Inggisɛ nfwo ema fwo ani. Ongwu nfwa ema fwa ani. Ongwu nfwa ani fwa Imgbasho ndɔ ani esɔ nani.”
2a0a110087	Emi ngwuseta dɔn iwyo-diwyo-efa ntona yidɔ yi atsa wa gbɛɛ, “Otsɛ iYesu, mi iyi mgbi abu emi onodzi emɛsɛ kpaa le sunu eyi.”
2a0a120053	IYesu nu ma uka gbɛɛ, “N di iSatan gbɛsɛ kyɛ esho dafi mmbwo le naabɔ mani.
2a0a13007d	Ani tsekise kye mfye nu ema okye afɔ dzi ifa bɛyi mnaa odi ngha mfye mgbi ongyikyili mgbi ema, unkonyi kpaa ka kyɔ ema ba.
2a0a140070	Nghaduu ka tsatsa na gbɛɛ di emi onodzi ibwubwe sunu ema ba. Kpaa, tsatsa ikyegbɛɛ a lɔ ema iyi mi esho.”
2a0a150128	Mi onɔ na kpɔɔ iYesu mbwo yi atsa mi Onodzi Osaan, o gbɛɛ, “Ani ta abu angba Otsani, Otsɛ mgbi esho yi esɛ, ikyekyɛ abu kye ungwɔ ntonɛ da ama ntsɛwɛ gbɛɛ di ama kwiinɛ diyɛ yodzɛ mani, kpaa abu kwulu iba nya ɛngbɛ. Ɛɛn, Otsani, li ngha ngwi i kpaa abu gbɛɛ no dzɛ aali.
2a0a1600c1	“Otsani kye alungwɔ duu wo ani abɔ. Inggisɛ onyi ye ongwu nli Ongwɛ ba li Otsɔn ta, inggisɛ onyi kpaa di ye Otsɔn ba li Ongwɛ ta bɛyi ama ngwu Ongwɛ sadu okye Otsɔn tso ma mani.”
2a0a17006c	Man iYesu kyata mbi engwafɔɔn ntona gbɔ yi ama daada gbɛɛ, “Mse no bɛ ama ndi ungwɔ ema di nɛ ewo!
2a0a1800a1	N nya ema gbɛɛ i mina ibyi oyegbɔ yi ibyi utɔ gbɛɛ ama ki di ungwɔ ngwi ema di nɛ, kpaa a di ba, odi fwo ungwɔ ngwi ema fwo nɛ, kpaa a yagba fwo ba.”
2a0a1900a0	Onɔɔlɔlɔ ma inggisɛ oye ola mgbi iMose saan kyatunto ombadi iYesu, o gbɛɛ, “Otsetse, li alungwɔ ngwi ani ka kyɔ se ngwi ani ka tu oshishe igyegwu?”
2a0a1a0045	IYesu nyan gbɛɛ “Ola mgbi iMose gbɔsinɛ? Abu li gbɔn sinɛ?”
2a0a1b00ef	O si nu uka gbɛɛ, “Afɛ lɔ gbɛɛ: ‘Otsɛ Imgbasho no kpa abu itukwu yi itukwu mgbi abu duu yi oshishe mgbi abu duu yi mfye mgbi abu duu yi oyeeye mgbi abu duu’; di, ‘Inggisɛ nwatse dɔ abu kpa abu itukwu dafi ewabu mani.’”
2a0a1c004b	IYesu nyan gbɛɛ, “O gbɔ ayin; lu ka kyɔ ngha ta o ka dzɛ oshishe.”
2a0a1d0064	Kpaa dafi o mina otso oye-ye mgban nɛ, o byi iYesu gbɛɛ “Li emɛ li inggisɛ owatse dɔ ani?”
2a0a1e00b8	IYesu si nyan gbɛɛ: “Inggisɛ iJuda oka kyɛ mi iJerosalin le kɛ iJeriko, o ka kaka abɔ emumyi ama ofofɛ. A gbon ibe di kyon angwuto mi ewo kye dulu dzanta lakɛ ofɛ le fyikwu.
2a0a1f0078	I wa yɛɛ gbɛɛ inggisɛ ofifɛ mgbi Imgbasho oka wa le nyɛ ofɛ na kpɔɔ, o di inggisɛ na ta, o nyɛ enggengga lu.
2a0a200080	Inggisɛ iLevi nli kyidɔ mi ozu okwakye mgbi emi iJuda kpaa kyɔ ngha, ngwi o di inggisɛ na nɛ, ongwu kpaa nyɛ enggengga lu.
2a0a210085	Nghaduu inggisɛ iSamaria oka nli ingyoga le kɛ agaba, o wa to imbe ngwi inggisɛ na ladzɛ, ngwi o din nɛ, elela kyɔn won kpakpa.
2a0a22007f	O kɛ kwɛkwɛ yan, o san ifwa mi ewo kye otse yawon ele. O kyon dɔkɛ itaklimyi mgban kyon lu ozu ingyoga ka gbeka byun saan.
2a0a2300d9	Tegblifan nɛ, o dulu udza nmɛ okpa idɔ egbe efa sini kye nu inggisɛ odi mi imbe ingyoga nani, o nyan gbɛɛ: ‘Bwen saan, ni ani yɛ, ungwɔ ngwi abu mbe mi ikyon duu ni ngha ngha kpaa, n ka yilen kpaa abu.’”
2a0a24007c	IYesu byita gbɛɛ, “Mi idzidzɛ inggisɛ eta ntona li emɛ li inggisɛ owatse dɔ inggisɛ ongwu nkaka abɔ emumyi na?”
2a0a250076	Inggisɛ oye ola na nun uka gbɛɛ, “Li inggisɛ ongwu ndin elela nani.” IYesu nyan gbɛɛ, “Lu ka kyɔ ngha.”
2a0a26008a	Dafi iYesu yi engwafɔɔn kye ikye dɔ le lu iJerosalin nɛ, o wa kaka agwɔ oka, ongyaa oka ngwu a li kwun di iMata gban kaka udɛ mgban.
2a0a270067	O dzɛ yi ongwunɔn ongwu ongyaa, iyin di iMeri, ngwu ka sɔkɛ iyayi Otsɛ iYesu le fwo elodzɛ mgban.
2a0a2800d2	Kpaa i kaka iMata ewo kpakpa yi ungwɔ okyɔɔkyɔ nshewo ngwi ongwu ka kyɔ mani. O ba wa byi iYesu gbɛɛ, “Otsɛ, i kpa abu dafi ongwunani dzata idɔ duu tsaani abɔ nɛɛ? Ngyɛse nyan no wa tobyi ani.”
2a0a29005e	Otsɛ nun uka gbɛɛ, “IMata, iMata, i kaka abu ewo, eka di kplɔkɔ lo abu mi ungwɔ kwuba;
2a0a2a006f	ungwɔ li onyi ta ndzɛ kyɛmɛ-kyɛmɛ. IMeri kye ayɛ ngwi nghao tishi, ngwi a ka kye gbɛlu mbon ba mani.”
2a0b0100c0	Egbe oka nɛ, iYesu le bibɔ mi imbe oka. Mi onɔ ngwi o ngyɛlu ibɔ obɔɔbɔ nɛ, ongwafɔ mgban onyi ba mbon wa nyan gbɛɛ, “Otsɛ, tso eyi obibɔ dafi iJɔn tso engwafɔ mgban nani.”
2a0b02007c	O nya ma gbɛɛ, “Onɔ ngwi ema ka bibɔ yɔ, gbɛɛ: “‘Otseyi, nu ma nu mmwɛ mi iyi mgbi abu. Ni esutɔ mgbi abu ba.
2a0b03002d	Nu eyi ungwogye mgbi eyi ongwi alegbe-alegbe.
2a0b040094	Dzɛ eyi ta yi ali ibwubwe mgbi eyi, dafi eyi kpaa li dzata ama nkyɔ eyi obube mani. Dika kye eyi kaka igyila ba; kpaa dulu eyi tɔ mi obube.’”
2a0b05008c	IYesu di nya ma gbɛɛ, “Li emɛ mbi ema ndzɛ yi uka, ka kɛ mbon mi idzidzɛ otu ka nyan gbɛɛ, ‘Okani, tobyi ani yi ibredi nghi eta;
2a0b06005e	ikyesinɛ okani oka dzagaba wa kaka mbi ani, ma n dzɛ yi unkonyi ngwi n ka kye non gye ba.’
2a0b0700ab	“Ma o nu uka mi ozu dzidzɛ gbɛɛ, ‘Ka kaka ani ewo ba; onufozu tukwu, ɛngbɛ mgbi ani di lato yi ani mi akwulo. Nghanɛ n ka yagba kyato ba wa nu abu unkonyi ba.’
2a0b080097	N nya ema, o ka kyato ba wa nun mi ikyegbɛɛ o li okan ba, kpaa mi ikyegbɛɛ o bɔ kyɔ ewewa ba, li ikyengha o ka kyato wa nun dafi o mina duu aali.
2a0b090068	“N di nya ema: Bɔ na ta a ka nu ema, di pita na, ta ema ka tu; tsaabɔ na, ta a ka kwulu ema onufozu.
2a0b0a0054	Lubana otsungwɔn nbɔ ka gbɛ. Ongwu npita ka tu. Ongwu ntsaabɔ, a ka kwulun ofɛ.
2a0b0b005a	“Li emɛ mbi ema etsɛngwɛ ngwu ongwan ka bɔn mmbweni, se o ka nun ifa gbikye mmbweni?
2a0b0c002d	Naadi o bɔn akyogbi, ngwi o ka kye mnaa nun?
2a0b0d0086	Ni ema emi ali ibwubwe ye onu ɛngbɛ mgbi ema umba osuse ma, ka kyɔnɛse Otsema ongwi esho ka nghao nu ama nbɔn Onodzi Osaan ba.”
2a0b0e00ae	Egbe oka nɛ, iYesu lɔ ikplima emɛsɛ onya. Onɔ ngwi emɛsɛ na tɔ nɛ, inggisɛ ngwu onodzi emɛsɛ na non yɛɛ ikplima ma gbɔdzɛ, ta i kwulu ibyi inggisɛ ntona ewo.
2a0b0f0066	Angbeka gbɛɛ, “IYesu lɔ emɛsɛ onya yi mfye mgbi iBɛdzɛbu ongwu nli ikye mgbi emɛsɛ nani.”
2a0b100030	Angbeka le mbadin, a mina ambɛ ongwi esho mbon.
2a0b110083	IYesu ye ewodzɛ mgbi ama nɛ, o nya ma gbɛɛ: “Ali esutɔ ngwi gbua mi ikyili yɔ, a ka bulu, udɛ ngwi di gha yi ewon ka bulu.
2a0b120086	Ni iSatan kpaa gha yi ewon ma, ka kyɔsinɛse esutɔ mgban ka kwudzɛ? Lubana ema gbɛɛ ani lɔ emɛsɛ onya yi mfye mgbi iBɛdzɛbu.
2a0b13009e	Kini ani lɔ emɛsɛ onya yi mfye mgbi iBɛdzɛbu ma, li mfye mgbi emɛ ngwi ɛngbɛ mgbi ema li lɔ emɛsɛ onya? Ngyɛse ɛngbɛ mgbi ema ka gbɔ ema ikwɔ.
2a0b140068	Kpaa ni li mi mfye mgbi Imgbasho ngwi ani lɔ emɛsɛ onya yɔ, esutɔ mgbi Imgbasho ba mbi ema sewaani.
2a0b150070	“Ni inggisɛ ndzɛ yi mfye di dzɛ yi okyiika, ngyo udɛ mgban yɔ, alungwɔ ngwi o dzɛyan duu ka dzɛ kyoon.
2a0b1600b6	Nghaduu ni inggisɛ ndzɛ yi mfye nghan ba wa gblika yan yɔ, o ka nghan diyɛ gbɛlun okyiika ngwi o le tsaabɔ igɛgɛ yan mani, o dika kyi ghalu okwudɛ mgban yi inggisɛ angbeka.
2a0b170067	“Inggisɛ ndzɛ yi ani bayɔ, kye afɔ twɛsɛ yi ani. Ongwu ngbe ngwikwo yi ani bayɔ, le bulu-bulu.
2a0b18009a	“Onɔ ngwi onodzi emɛsɛ tɔ mbi inggisɛ, o li lu ivu le ka pita imbe otonya. Ki non tu imbe bayɔ, o li gbɛɛ; ‘N ka yidɔ lu udɛ ani ogbugbe.’
2a0b190043	Non yɛ ba udan ogbugbe wa di a kyi mɛlu imbe ma dzɛkɛ saan yɔ.
2a0b1a00a1	O li yɛ lu ka kwu emɛsɛ angbeka egyafa ama ntimbali nghan mani, a ka ba wa kaka sisɛ mi ele. Taman odzɛɛdzɛ mgbi inggisɛ na ka timbi nghaabɔ ogbugbe.”
2a0b1b00ad	Dafi iYesu le gbɔdzɛ le kɛ nɛ, ongyaa oka mi idzidzɛ ibyi inggisɛ ntona si kyile ela esho gbɛɛ, “Mse no dzɛ yi ifu ngwi mba abu, bɛyi abɛ ngwi abu ngha nani.”
2a0b1c0073	IYesu nu uka gbɛɛ, “Nghaduukpaa li inggisɛ nfwo elodzɛ mgbi Imgbasho di kyɔ mi ele yɛyɛ mani ka gbumse.”
2a0b1d0096	Dafi ibyi inggisɛ shili kye iYesu wo idzidzɛ nɛ, o gbɛɛ, “Nɛnɛ li etɔ obube! O le mina ambɛ, kpaa o ka tu onyi ba sede ambɛ mgbi iJona ta.
2a0b1e0063	Dafi iJona li ambɛ mbi emi iNinive na, li ngha ngwi Ongwɛ Inggisɛ ka li ambɛ mbi etɔ nɛ aani.
2a0b1f00d1	Apodza ongwi aca ka kye afɔ twɛsɛ yi inggisɛ emi etɔ nɛni mi egbe ikwɔ dika nu ma obube, lubana o kyɛ mbi ɛsɛ dondu owa fwo ozoyeye mgbi utɔ iSolomu, dinaa, ongwu nshewo ngha iSolomu dzɛ mmɛnɛni.
2a0b2000da	Inggisɛ emi iNinive kpaa ka kye afɔ twɛsɛ yi emi etɔ nɛni mi egbe ikwɔ diyɛ nu ma obube; ikyena a kyatitukwu mi onɔ ngwi a fwo elodzɛ ogbɔɔgbɔ mgbi iJona nani, ma onɛnɛ ongwu nshewo ngha iJona dzɛ aani.
2a0b210096	“Inggisɛ onyi nka kye ola dɔ se ka kye da di kye mgboko tukwu ele dzɛma ba. O ka kye fakɛ imbe ododa ngwi ali inggisɛ nkaka duu ka di osa mani.
2a0b2200b4	Inɛ mgbi abu li ipitila mgbi ewo mgbi abu. Kini inɛ mgbi abu tishi yɔ, ewo mgbi abu duu ka mbwo yi osa. Kpaa kini inɛ mgbi abu tishi bayɔ, ewo mgbi abu kpaa dika mbwo yi iifu.
2a0b23003b	Ikyenghanɛ, di gbɛɛ, osa ndzɛ mbi abu no ka li iifu ba.
2a0b240086	Nghanɛ, kini ewo mgbi abu duu mbwo yi osa yi alewo onyi kpaa yifu bayɔ, ka mbwo yi osa dafi osa mgbi ipitila li nu abu osa nɛni.”
2a0b25008e	Ngwi iYesu ngyɛlu odzɛ ogbɔɔgbɔ nɛ, inggisɛ iFarasi wa bɔɔn gbɛɛ no ba wa gye ungwogye mi udɛ mgban; ta o ka sɔkɛ ogye ungwogye.
2a0b260081	Nghaduu inggisɛ iFarasi na, difwi gbɛɛ iYesu sabɔ mi odzɛɛdzɛ aletɔ mgbi ama ba ta, wita ogye ungwogye, nɛ i kwulun ewo.
2a0b270091	Otsɛ iYesu si nyan gbɛɛ, “Onɛnɛ, ema emi iFarasi li sa ewo alubata yi inunggaa, kpaa mi idzidzɛ mgbi ema yɔ li mbwo yi nggwɔ yi imbali.
2a0b28004b	Ema ikwangha inggisɛ ntonɛ! Li ongwu nmɛ idzidzɛ ma, mɛ esɛ kpaa baa?
2a0b29004b	Nɛ nu emi adzɛ umba yi itukwu osaan na, ta alungwɔ duu ka dzɛ ema saan.
2a0b2a012e	“Ahoo! Mi ikye ema emi iFarasi, ema li kye onyi mi ikye iwyo ongwi okwɔ mgbi ema duu mbwo yi ungwɔ dafi indzafɛ, atsubo, bɛyi ungwɔ angbeka kye nu Imgbasho. Kpaa ema li kyɔ inggisɛ ogye, Imgbasho di kpaa ema itukwu ba. Li ungwɔ ndzɛ imbisɔ ngwi ema ki tsekise kyɔ duuse angbeka ntona aali.
2a0b2b0087	“Ahoo! Mi ikye ema emi iFarasi, li kpa ema osɔ imbe mmwɛ mi ozu okwakye mgbi emi iJuda di nu ma le ta ema angba yi mmwɛ mi ifyidu.
2a0b2c00a8	“Ahoo! Mi ikye ema ama olɔɔlɔ yi emi iFarasi, emi ikpala, ema dzɛ dafi endzi ngwi ambɛ mgban byulu, ngwi inggisɛ li kyikyɛ nyɛ ele kpaa a li difwi ba mani.”
2a0b2d007f	Inggisɛ otso ola mgbi iMose oka nun uka gbɛɛ, “Otsetse, dafi ngwi abu gbɔ ungwɔ ntonɛ nɛ, eyi kpaa abu fya eyi ito.”
2a0b2e00a9	IYesu gbɛɛ, “Ahoo! Mi ikye ema ama otso ola mgbi iMose, ikyekyɛ ema li gbe isɔ gwuba dɔ inggisɛ ikye kpaa ema li kye ongwufabɔ onyi gbo ele ikye oya ma abɔ ba.
2a0b2f0060	“Ahoo! Mi ikye ema, ema mbɛ endzi mgbi ama ogbɛɛsɛ ngwu li emi otsikyema ngwɔ tugbe mani.
2a0b30005f	Nɛ ema tso gbɛɛ ungwɔ ngwi a kyɔ na li ayin; a ngwɔ ama ogbɛɛsɛ, ema di mbɛ ma endzi.
2a0b31009e	Mi ikyenghanɛ, Imgbasho mi ozoyeye mgban gbɛɛ, ‘Ani ka dɔ ama ogbɛɛsɛ yi ama ogbikye ani esɔ mboma, angbeka a ka ngwɔ ma diyɛ nu angbeka adzɛ.’
2a0b32006c	Nghanɛ, etɔ nɛni a ka kwo ma adɔ mi ikwu mgbi ama ogbɛɛsɛ ngwu a ngwɔ mi owita-wita mgbi ɛsɛ nani.
2a0b3300ba	Wita mi ikwu mgbi Ebɛl lu ka kaka ikwu iDzakaria, ongwu ma ngwɔn mi idzidzɛ ozu mgbi Imgbasho yi iwashi ofifɛ nani. N nya ema mi otsitsi, a ka kwo etɔ nɛ adɔ mi ungwɔ ntonɛ duu.
2a0b3400b2	“Ahoo! Mi ikye ema ama otso ola, lubana ema kyi kyelu ungwɔ okwulu ofɛ mgbi ozoyeye mgbi Imgbasho. Ema abuema kpaa kaka ba, diyɛ noofɛ gbɛɛ ama nle kaka nu ma kaka ba.”
2a0b3500b5	Ngwi iYesu ngyɛlu odzɛ ntonɛ ogbɔɔgbɔ nɛ, o dzata imbe nani, nɛ emi iFarasi yi ama otso ola mgbi emi iJuda wita ole ban ibɛ di kyitingga gbɛɛ no gbɔdzɛ mi ungwɔ gwuba,
2a0b360052	zukwu ni ama tu ofɛ di nun obube mi odzɛ ama ntɔ mi ondu mbon nli ayin ba mani.
2a0c0100e7	Ngwi inggisɛ idubu ibyibyi wa kwutokɛ mbonyi nɛ, a sile dzi ewoma afɔ, man iYesu wita ogbɔdzɛ ababɔ nya engwafɔɔn gbɛɛ: “Kyɔ dumɔɔ yi otsootso mgbi emi iFarasi, ngwi li ɛwɛ nli gbɔfwɛ dafi okwuna mi ibredi nani.
2a0c02006a	Onɔ kyɛma ngwi alungwɔ ndzɛ mi odaada duu ka dɔ ododa, ungwɔ ngwi a di kye da duu a ka kye dɛɛsɛ.
2a0c03007d	Ungwɔ ngwi abu gbɔ mi iyifu a ka fwo mi osa, ungwɔ ngwi abu di gbɔn mi adɔ mi ifoozu idzidzɛ dika gbela tɔ mi ikyendu.
2a0c040055	“N nya ema, emi okani, ka mio ama nka ngwɔ ikpewo ta ka kyɔ unka gbɛ wuba na ba.
2a0c05009e	Kpaa n ka tso ema ongwu ema ka mion mani: Mio ongwu, ki non kye ngwɔlu ikpewo, o di dzɛ yi mfye okye abu wokɛ imbe adzɛ nani. Ɛɛn, ani nya ema, mion na.
2a0c06005d	A li kye ifyilo nghi eda gya mi anini efa baa? Nghaduu ifyilo onyi kpaa Imgbasho gblimɔn ba.
2a0c07005c	Nghanɛ, otu mi ikye mgbi ema duu Imgbasho ye mmbwon. Ka mio ba na; ema ngha ifyilo ibyibyi.
2a0c080097	“Ani nya ema, inggisɛ ta nkyɔ obwɛndɛ mgbi ani mi inɛ inggisɛ yɔ, Ongwɛ Inggisɛ kpaa ka kyɔ obwɛndɛ mgban mi inɛ engyesɔ mgbi Imgbasho.
2a0c090079	Nghaduu inggisɛ ntangwɛ ani mi inɛ inggisɛ yɔ, ongwu kpaa Ongwɛ Inggisɛ ka tangwan mi inɛ engyesɔ mgbi Imgbasho.
2a0c0a0081	Ali inggisɛ ngbɔdzɛ obube mi ikye Ongwɛ Inggisɛ, a ka dzanta yi obube, kpaa ongwu nfya Onodzi Osaan ito yɔ, a ka dzanta ba.
2a0c0b00bf	“Onɔ ngwi a kye ema ba inɛ ikwɔ mi ozu okwakye mgbi emi iJuda bɛyi inɛ emi atɔtsɛ bɛyi inɛ mgbi emi ola ma, no ka kaka ema ewo dafi ema ka na ewema naadi odzɛ ngwi ema ka gbɔ ba.
2a0c0c0049	Ikyena Onodzi Osaan ka nya ema odzɛ ngwi ema ka gbɔ mi onɔ na mani.”
2a0c0d0082	Inggisɛ oka mi ifu ibyi nya iYesu gbɛɛ, “Otsetse, nya ongwunani no kye ghalu okwudɛ ngwi otseyi dzanta nu eyi nɛ yi ani.”
2a0c0e005b	IYesu si nun uka gbɛɛ, “Okani, li emɛ nu ani mfye ogbiikwɔ naadi ogha ema okwudɛ?”
2a0c0f007b	Ta o nya ma gbɛɛ, “Gbɛwɛbyi! Ngyo ewema mi ali ofɛ mgbi nggwɔ duu; oshishe mgbi inggisɛ dzɛ mi aludu mgban ba.”
2a0c100050	Man o nya ma utsa nɛ gbɛɛ: “Ikpɛsɛ mgbi inggisɛ udza oka tishi ungwogye.
2a0c11007c	O tsɛwɛ mi itukwu mgban gbɛɛ, ‘Li ekyɛ ngwi ani ka kyɔ? Ani dzɛ yi imbe ngwi ani ka gbe ungwogye mgbi ani to ba.’
2a0c1200a4	“Nɛ o gbɔgbɛɛ, ‘Li ungwɔ ani ka kyɔ aani. N ka kye bulu emi oba mgbi ani yidɔ mbɛ ama okwukwo, man ani ka gbe ungwogyowe yi okye mgbi ani duu da mi efu.
2a0c13008a	Ta n ka nya ewen gbɛɛ, “Abu dzɛ yi ungwɔ osuse kwuba to nka kye onova ibyibyi. Yile itukwu bɛsɛ; gye, wa diyɛ dzɛ yi atsa.”’
2a0c1400ab	“Kpaa Imgbasho nyan gbɛɛ, ‘Abu ikwangha nɛ! Mi otu inɛ nɛni n ka mina oshishe mgbi abu mbi abu. Nɛ li emɛ ka kye gbelu ungwɔ ngwi abu gbe to ikye ewabu nɛ?’
2a0c150063	“Li ngha nka dzɛ yi ali inggisɛ ngbe ungwɔ to ikye ewon kpaa li aludu mbi Imgbasho ba aali.”
2a0c1600ae	Ta iYesu nya engwafɔɔn gbɛɛ: “Nghanɛ ani nya ema, no ka kaka ema ewo mi oshishe mgbi ema ba, ungwɔ ngwi ema ka gye, naadi mi ikye ewo mgbi ema, ungwɔ ngwi ema ka wo.
2a0c17002b	Oshishe ngha ungwogye, ewo di ngha angwuto.
2a0c18009a	Di emi ajaglama: A li kya naadi shɛ ba, a dzɛ yi ozu hona oba okye ungwɔ da ba, nghaduu Imgbasho li byi ma enbwa. Ema dzɛ yi oyabɔ ngha ingwunɔ duu!
2a0c190053	Li emɛ mbi ema mi itukwu oshanyɛ mgban ka yagba ombwo obyi onyi mi oshishe mgban?
2a0c1a0082	Ma ni itukwu oshanyɛ ka yagba ngyɛlu ungwɔ ogyɛngyɛ ngha ba wali, oyabɔ li ekyɛ onu ewema itukwu shanyɛ mi ungwɔ angbeka?
2a0c1b00a5	“Di dafi onggangga oshɛ li she mani. A li kyidɔ naadi gbo ewoma angwuto ba. Nghaduu iSolomu mi okwɔkwɔ mgban nose wewo tishi dafi onyi mbi onggangga ntonɛ ba.
2a0c1c00c3	Ni li ngha ngwi Imgbasho li nu oshɛ mi okwɔ ngwi dzɛ inɛ, ekeka a ka kye toola sunse ma, ka kyɔsinɛse ngwi o ka nghao kye inɛ byi ema ba? Ema ngwu oyɛyɛ onuunu mgbi ema shanyɛ ntonɛni!
2a0c1d006c	Nghanɛ, no ka kaka ema ewo mi ungwɔ ngwi ema ka gye naadi wa ba; dika dzɛ yi angwodzɛ mi itukwu kpaa ba.
2a0c1e0067	Bana li ama n ye Imgbasho ba li kyɛdɔ ungwɔ ntonɛni, ma Otsema ye dafi ema mina ungwɔ ntonɛ mani.
2a0c1f0059	Nghaduu pita esutɔ mgbi Imgbasho ababɔ, ta a ka gbe ungwɔ ntonɛ duu mbwo ema kɛ ele.
2a0c200057	“Ka mio ba na, engwafɔ ama okpa ani itukwu, ikyena i mina Otsema okye esutɔ nu ema.
2a0c2100c5	Gbelu ungwɔ ngwi ema dzɛyan duu gya kye udza gha emi adzɛ. Ema ka tu ungwɔ ama osuse nka li gyegwu, aludu mi esho nka ngyɛ ba, imbe ngwi emumyi ka ba kwɛkwɛ naadi ikwukwu ka kye gye ba mani.
2a0c220058	Lubana imbe ngwi aludu mgbi ema dzɛma, li mmana ngwi itukwu mgbi ema kpaa li dzɛ aali.
2a0c23002f	“Wewo okyidɔ di nu ipitila mgbi ema le gbɛ,
2a0c24008a	dafi engbidɔ tole fɛ oyɛɛyɛ mgbi ongyukwo mgbi ama mi eba okwokyiikwokyi, ikyegbɛɛ non yɛ wa tsaabɔ ta a ka kwulun ofɛ vla mani.
